Designator,Mid X,Mid Y,Rotation,Layer
C1,126.75,-117.27,0.0,top
C2,151.356667,-107.61,0.0,top
C3,153.226667,-91.0,180.0,top
C4,138.773333,-91.0,180.0,top
D1,153.226667,-97.0,180.0,top
D2,138.773333,-97.0,180.0,top
F1,165.25,-97.0,180.0,top
F2,126.75,-97.0,0.0,top
H1,100.0,-60.0,0.0,top
H2,192.0,-60.0,0.0,top
H3,100.0,-152.0,0.0,top
H4,192.0,-152.0,0.0,top
JP1,126.75,-107.61,90.0,top
JP2,139.283333,-107.61,90.0,top
R1,112.11,-117.27,0.0,top
R2,141.195,-117.27,0.0,top
R3,141.195,-124.89,0.0,top
R4,165.25,-107.61,0.0,top
R5,169.725,-121.08,90.0,top
R6,177.5,-121.08,270.0,top
TP1,107.5,-73.5,0.0,top
TP10,146.25,-67.35,270.0,top
TP11,127.0,-67.35,270.0,top
TP2,107.5,-138.0,0.0,top
TP3,184.35,-93.0,180.0,top
TP4,184.35,-138.5,180.0,top
TP5,184.35,-74.0,180.0,top
TP9,165.5,-67.35,270.0,top
U1,158.19,-121.08,0.0,top
